login,id,url,contributions,commits,pull_requests,issues
alexeyraspopov,858295,https://github.com/alexeyraspopov,5,5,7,0
alexmckenley,3639670,https://github.com/alexmckenley,5,6,5,0
alunyov,102968,https://github.com/alunyov,5,5,8,0
cyan33,13282699,https://github.com/cyan33,5,5,8,0
clayallsopp,153704,https://github.com/clayallsopp,5,5,3,0
aaronabramov,940133,https://github.com/aaronabramov,5,5,4,0
eltociear,22633385,https://github.com/eltociear,5,5,6,0
jfo84,11723485,https://github.com/jfo84,5,5,11,0
Jack-Works,5390719,https://github.com/Jack-Works,5,6,10,2
huozhi,4800338,https://github.com/huozhi,5,5,8,1
jbaiter,608610,https://github.com/jbaiter,5,5,1,0
joshma,64739,https://github.com/joshma,5,5,1,0
julen,16768,https://github.com/julen,5,5,5,0
jeyraof,2032880,https://github.com/jeyraof,5,5,0,0
tbroadley,8731922,https://github.com/tbroadley,4,4,4,0
sahrens,1509831,https://github.com/sahrens,4,4,4,0
skiritsis,29357763,https://github.com/skiritsis,4,4,5,0
misoguy,12230408,https://github.com/misoguy,4,4,4,0
robhrt7,1260461,https://github.com/robhrt7,4,4,4,0
seiffert,1111118,https://github.com/seiffert,4,4,3,0
wherestheguac,24465189,https://github.com/wherestheguac,4,4,5,0
ngavalas,4701284,https://github.com/ngavalas,4,4,1,0
nateq314,1175921,https://github.com/nateq314,4,4,8,0
nmn,3582514,https://github.com/nmn,4,5,4,0
troydemonbreun,770448,https://github.com/troydemonbreun,4,4,8,0
volkanunsal,151600,https://github.com/volkanunsal,4,4,1,0
noyobo,1292082,https://github.com/noyobo,4,4,1,0
remixz,1459603,https://github.com/remixz,4,4,2,0
inokawa,48897392,https://github.com/inokawa,4,4,4,0
mariodu,1409643,https://github.com/mariodu,4,4,1,0
nutboltu,9896958,https://github.com/nutboltu,4,4,4,0
bgirard,793565,https://github.com/bgirard,4,4,5,1
Vicachu42,69855483,https://github.com/Vicachu42,4,4,5,0
yuyokk,1225343,https://github.com/yuyokk,4,4,4,0
maciej-ka,5403694,https://github.com/maciej-ka,4,4,5,0
AlmeroSteyn,5063473,https://github.com/AlmeroSteyn,4,4,5,0
af,25241,https://github.com/af,4,4,2,0
armujahid,3725386,https://github.com/armujahid,4,4,4,0
omarsy,15034695,https://github.com/omarsy,4,4,7,1
azich,306069,https://github.com/azich,4,4,0,0
avanderhoorn,585619,https://github.com/avanderhoorn,4,4,1,0
bernard-lin,16327281,https://github.com/bernard-lin,4,4,5,0
brianreavis,118480,https://github.com/brianreavis,4,4,1,0
gasi,49583,https://github.com/gasi,4,4,7,0
hejld,488301,https://github.com/hejld,4,5,5,0
glenjamin,151272,https://github.com/glenjamin,4,4,5,0
thymikee,5106466,https://github.com/thymikee,4,4,6,0
mtharrison,916064,https://github.com/mtharrison,4,4,1,0
mfunkie,1137065,https://github.com/mfunkie,4,4,4,0
markerikson,1128784,https://github.com/markerikson,4,4,4,0
ManasJayanth,3097018,https://github.com/ManasJayanth,4,4,6,0
KyleAMathews,71047,https://github.com/KyleAMathews,4,4,4,0
monkindey,6913898,https://github.com/monkindey,4,4,6,0
xjlim,10875678,https://github.com/xjlim,4,4,5,0
jeffreylin,706406,https://github.com/jeffreylin,4,4,4,0
jasonwilliams,936006,https://github.com/jasonwilliams,4,4,6,0
IDrissAitHafid,31975500,https://github.com/IDrissAitHafid,4,4,4,0
kchia,7776562,https://github.com/kchia,4,4,4,0
pieterv,438482,https://github.com/pieterv,3,4,3,0
passy,9906,https://github.com/passy,3,3,3,0
ning-github,7812178,https://github.com/ning-github,3,3,2,0
nikolas,59292,https://github.com/nikolas,3,3,6,0
nick-thompson,1278445,https://github.com/nick-thompson,3,3,1,0
enaqx,182219,https://github.com/enaqx,3,3,3,0
millermedeiros,155633,https://github.com/millermedeiros,3,3,4,0
mihaip,513813,https://github.com/mihaip,3,3,3,0
MichaelDeBoey,6643991,https://github.com/MichaelDeBoey,3,3,5,0
xixixao,1473433,https://github.com/xixixao,3,3,4,1
mridgway,191142,https://github.com/mridgway,3,3,11,0
arcanis,1037931,https://github.com/arcanis,3,3,3,0
matiassingers,938453,https://github.com/matiassingers,3,3,3,0
mathieumg,1624812,https://github.com/mathieumg,3,3,3,0
markijbema,624143,https://github.com/markijbema,3,3,1,0
wtlin1228,16910748,https://github.com/wtlin1228,3,3,6,0
watadarkstar,3059371,https://github.com/watadarkstar,3,3,3,0
zwhitchcox,4328800,https://github.com/zwhitchcox,3,3,9,0
hkal,3802753,https://github.com/hkal,3,3,4,0
XuefengWu,161701,https://github.com/XuefengWu,3,3,1,0
TrickyPi,33021497,https://github.com/TrickyPi,3,3,4,1
madeinfree,4027049,https://github.com/madeinfree,3,3,4,0
vipulnsward,567626,https://github.com/vipulnsward,3,3,3,0
fson,497214,https://github.com/fson,3,3,3,0
Yeti-or,1813468,https://github.com/Yeti-or,3,3,3,0
trevorsmith,14433,https://github.com/trevorsmith,3,3,1,0
neojski,3188532,https://github.com/neojski,3,3,3,0
